experiment,video,vjepa_surprise,vjepa_similarity,frames,motion_l1,motion_l2,temporal_accel_l1,first_last_l1,path
baseline_gf5,0001_trimmed-ball-and-block-fall.mp4,0.45127972960472107,0.5487202703952789,49,0.016179542988538742,0.06267151981592178,0.02701772190630436,0.0516992025077343,generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5base3_f49_s40_gs0.001_gf5_cfg6.0_seed42_tfps4_ctx1/0001_trimmed-ball-and-block-fall.mp4
baseline_gf5,0005_trimmed-ball-behind-rotating-paper.mp4,0.43071627616882324,0.5692837238311768,49,0.004873192403465509,0.03624771162867546,0.008086774498224258,0.037244655191898346,generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5base3_f49_s40_gs0.001_gf5_cfg6.0_seed42_tfps4_ctx1/0005_trimmed-ball-behind-rotating-paper.mp4
baseline_gf5,0008_trimmed-ball-hits-duck.mp4,0.3874134123325348,0.6125865876674652,49,0.0010278047993779182,0.009333738125860691,0.0019432574044913054,0.006581463851034641,generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5base3_f49_s40_gs0.001_gf5_cfg6.0_seed42_tfps4_ctx1/0008_trimmed-ball-hits-duck.mp4
promptx_gf5,0001_trimmed-ball-and-block-fall.mp4,0.4384910762310028,0.5615089237689972,49,0.010271218605339527,0.042538296431303024,0.015778284519910812,0.1063564345240593,generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5promptx3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_tfps4_ctx1/0001_trimmed-ball-and-block-fall.mp4
promptx_gf5,0005_trimmed-ball-behind-rotating-paper.mp4,0.4445975720882416,0.5554024279117584,49,0.007318802177906036,0.03816375136375427,0.011693021282553673,0.08230650424957275,generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5promptx3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_tfps4_ctx1/0005_trimmed-ball-behind-rotating-paper.mp4
promptx_gf5,0008_trimmed-ball-hits-duck.mp4,0.4101715087890625,0.5898284912109375,49,0.00197572261095047,0.016854284331202507,0.003183368593454361,0.011509083211421967,generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5promptx3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_tfps4_ctx1/0008_trimmed-ball-hits-duck.mp4
delta_promptx_minus_baseline,0001_trimmed-ball-and-block-fall.mp4,-0.012788653373718262,0.012788653373718262,0,-0.005908324383199215,-0.02013322338461876,-0.011239437386393547,0.054657232016325,
delta_promptx_minus_baseline,0005_trimmed-ball-behind-rotating-paper.mp4,0.013881295919418335,-0.013881295919418335,0,0.002445609774440527,0.0019160397350788116,0.0036062467843294144,0.04506184905767441,
delta_promptx_minus_baseline,0008_trimmed-ball-hits-duck.mp4,0.02275809645652771,-0.02275809645652771,0,0.0009479178115725517,0.007520546205341816,0.0012401111889630556,0.004927619360387325,
baseline_gf5,MEAN_3VIDEOS,0.42313647270202637,0.5768635272979736,49.0,0.007360180063794057,0.036084323190152645,0.012349251269673308,0.03184177385022243,
promptx_gf5,MEAN_3VIDEOS,0.4310867190361023,0.5689132809638977,49.0,0.006521914464732011,0.03251877737541994,0.010218224798639616,0.06672400732835133,
delta_promptx_minus_baseline,MEAN_3VIDEOS,0.007950246334075928,-0.007950246334075928,0.0,-0.0008382655990620455,-0.0035655458147327104,-0.0021310264710336924,0.03488223347812891,
